student,time,hand
1,8.5,dominant
2,8,dominant
3,8.8,dominant
4,8.5,dominant
5,8.1,dominant
6,9.5,dominant
7,9,dominant
8,9.3,dominant
9,9.5,dominant
10,7.9,dominant
11,8.4,dominant
12,8.5,dominant
13,8,dominant
14,8,dominant
15,8,dominant
16,8,dominant
17,8,dominant
18,6,dominant
19,2,dominant
20,10,dominant
21,11.2,dominant
22,8.1,dominant
23,8.2,dominant
24,9,dominant
25,9.3,dominant
26,8.7,dominant
27,8.5,dominant
28,8.8,dominant
29,10.1,dominant
30,9.5,dominant
31,9.4,dominant
32,9.7,dominant
33,8.5,dominant
34,7.9,dominant
35,10.5,dominant
36,10.9,dominant
37,8.6,dominant
38,8.7,dominant
39,8.9,dominant
40,10.5,dominant
41,9.5,dominant
42,9.8,dominant
43,9.8,dominant
44,9.8,dominant
45,10.1,dominant
46,8.5,dominant
47,8.7,dominant
48,8.8,dominant
49,8.8,dominant
50,8.9,dominant
51,8.5,dominant
52,8.6,dominant
53,9.5,dominant
54,9.4,dominant
55,9.8,dominant
56,9.8,dominant
57,9.9,dominant
58,8.8,dominant
59,9.6,dominant
60,9.3,dominant
61,10.1,dominant
62,9.9,dominant
63,9.8,dominant
64,9.8,dominant
65,9.8,dominant
66,10.2,dominant
67,8.5,dominant
68,8.7,dominant
69,8.8,dominant
70,8.8,dominant
71,8.9,dominant
72,8.5,dominant
73,8,dominant
74,8.5,dominant
75,8.5,dominant
76,8.1,dominant
77,9.5,dominant
78,9,dominant
79,9.3,dominant
80,9.5,dominant
81,7.9,dominant
82,8.4,dominant
83,8.5,dominant
84,8.8,dominant
85,11.2,dominant
86,13.5,dominant
87,14,dominant
88,6.8,dominant
89,7.2,dominant
90,8.8,dominant
91,9.6,dominant
92,13.5,dominant
93,11.2,dominant
94,7.5,dominant
95,7.6,dominant
96,8.1,dominant
97,16.5,weak
98,14.2,weak
99,21.5,weak
100,15.4,weak
101,18.6,weak
102,18.9,weak
103,16.5,weak
104,16.7,weak
105,17.5,weak
106,11.2,weak
107,14.5,weak
108,11.5,weak
109,12.5,weak
110,12.7,weak
111,13.5,weak
112,11.6,weak
113,14.5,weak
114,15.9,weak
115,14.7,weak
116,13.5,weak
117,17.8,weak
118,10.5,weak
119,16.8,weak
120,18.5,weak
121,19.2,weak
122,18.9,weak
123,16.5,weak
124,16.7,weak
125,21.5,weak
126,20.5,weak
127,19.6,weak
128,17.8,weak
129,14.2,weak
130,13.9,weak
131,19.9,weak
132,18.5,weak
133,10.8,weak
134,15.9,weak
135,17.8,weak
136,15.6,weak
137,16.5,weak
138,17.5,weak
139,16.8,weak
140,16.8,weak
141,15.9,weak
142,16.9,weak
143,16.4,weak
144,15.7,weak
145,14.8,weak
146,15.8,weak
147,14.5,weak
148,16,weak
149,17,weak
150,15.9,weak
151,14.5,weak
152,16.4,weak
153,16.8,weak
154,16.7,weak
155,13.2,weak
156,16,weak
157,21,weak
158,16.5,weak
159,15.9,weak
160,15.8,weak
161,14.7,weak
162,17.2,weak
163,16.5,weak
164,16.4,weak
165,15.4,weak
166,15.3,weak
167,15.8,weak
168,16.1,weak
169,16.2,weak
170,16.7,weak
171,16.7,weak
172,16.9,weak
173,16.5,weak
174,18.4,weak
175,15.9,weak
176,19.2,weak
177,14,weak
178,20,weak
179,17.4,weak
180,16.3,weak
181,18.1,weak
182,19.7,weak
183,17.8,weak
184,13.5,weak
185,15,weak
186,16.1,weak
187,16.8,weak
188,18.4,weak
189,19.2,weak
190,16.3,weak
191,16.8,weak
192,15,weak
